file,target,params,trainable_params,rmse
heading_error_arch2.pt,heading_error,21997,21997,0.04067443683743477
heading_error_arch3.pt,heading_error,34405,34405,0.03903201222419739
heading_error_arch4.pt,heading_error,69105,69105,0.03659837692975998
heading_error_arch5.pt,heading_error,120235,120235,0.03684141859412193
left_wall_dist_arch2.pt,left_wall_dist,21997,21997,0.03528403863310814
left_wall_dist_arch3.pt,left_wall_dist,34405,34405,0.018163541331887245
left_wall_dist_arch4.pt,left_wall_dist,69105,69105,0.018312610685825348
left_wall_dist_arch5.pt,left_wall_dist,120235,120235,0.017079366371035576
track_width_arch2.pt,track_width,21997,21997,0.06961146742105484
track_width_arch3.pt,track_width,34405,34405,0.029760131612420082
track_width_arch4.pt,track_width,69105,69105,0.030110444873571396
track_width_arch5.pt,track_width,120235,120235,0.028645746409893036
